Text,State,City,Year,Type,Source
"Someone drove up to me, rolled down their window, shouted “I used to beat up your kind of people when I was in high school!” And drove off laughing maniacally. I was terrified. I was alone, I was just going to pick up dinner, I was scared they were going to double back to physically attack me. I cried hysterically in my car after the incident.",California,Los Angeles,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate-Mental-Health-Report-210527.pdf
"I was walking with a female friend, and a man walked past us and said ""Chinese go back to China."" He then turned around and walked past us again and repeatedly yelled at us and said ""Go back to China."" We were very scared and tried to get away from him but he followed us for about three minutes, one block. Once we crossed the street to where more people were then he stopped following us. My friend and I were shaken by the incident.",District of Columbia,Annadale,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate-Mental-Health-Report-210527.pdf
[My] 8th grade daughter [was] being teased & humiliated by schoolmates to run away from “Kung-flu / Coronavirus”. Immediately [my] daughter felt ashamed to be Asian & scared to go back to school [after] this humiliation.,California,Concord,,Avoidance/Shunning,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate-Mental-Health-Report-210527.pdf
"Three boys circled my friend, spat on her, and called her slurs etc. She was about to burst into tears. She is scared to go to school now.",New York,Amsterdam,,Coughed/Spat On,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate-Mental-Health-Report-210527.pdf
"We have been terrorized by a racist offender who lives next door to us. We feel afraid for our safety, emotionally traumatized, elder abuse by yelling, shouting, videotaping, and spitting at our elderly mother when she is in her own backyard. We are on edge, constantly fear intrusion into our home, cannot sleep well at night, unable to walk outside due to fear for our safety",California,Villa Park,,Coughed/Spat On,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate-Mental-Health-Report-210527.pdf
"My new coworkers keep asking me whether or not I'm Chinese. After an initial high from being offered a job during the ""China Virus'', I am now feeling anxious and having trouble hiding my severe anxiety. This leaves me in a precarious position. If I fail my probation, who will hire me?",Maryland,Gaithersburg,,Workplace Discrimination,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate-Mental-Health-Report-210527.pdf
"I went to a store a block away from my building. On my way back, at a red light, a man in a car rolled down his window to scream at me, “China did this to us, to Americans, f*** you, f*** China, yeah I’m talking to you, b****’ with slurs and acted as though he was going to get out of his car before he sped off.",Massachusetts,Boston,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate_NAPAWF_Whitepaper.pdf
"During my mom’s morning walk, she came across a man walking his dog. Immediately, he started to harass her by yelling and insulting her with the following statements: “Get out of here!” “You don’t belong in this neighborhood!” “You b****!” “You’re ugly!” He proceeded to mock her accent and also by impersonating an elderly person as she was walking away. Moreover, he stated, “The next time I see you, I’m going to run you over with my car!”",California,Gardena,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate_NAPAWF_Whitepaper.pdf
"A group of men in a car slowed down next to me when I was walking back to my dorm from the grocery store, then started making racist and sexual remarks. “I like them chi*ky” and “This all happened because of bat-eaters, but I still love you long time!” I had to start running between buildings so they couldn’t follow me.",Maine,Brunswick,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate_NAPAWF_Whitepaper.pdf
"I was with my two young children at [store name] to buy strawberries. I opened the container to check for mold when two men shouted that I was spreading COVID, getting everyone sick, called me a f*** b**** and said they should punch me. It scared my children and they said the men kept following us around the store.",New York,Mount Kisco,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate_NAPAWF_Whitepaper.pdf
"I was standing in line buying food and a woman not wearing a mask told me to pay for her food. When I said no, I was punched and yelled at. I was called an Asian b***h!” I called the police but after 10 minutes I left because I felt unsafe.",California,Los Angeles,,Physical Assault,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate_NAPAWF_Whitepaper.pdf
"Came out from an Asian take out restaurant in New York and came across a guy in front of me. After one eye contact, he yelled out “f**king Asian b***h,” then he started attacking with his fist. He knocked me down on the floor and started kicking me. Thank God my husband came to my rescue and he ran away",New York,New York City,,Physical Assault,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate_NAPAWF_Whitepaper.pdf
"I received 30+ comments from some account on Instagram attacking me using hateful, racist, and perverted language. A lot of the comments attacked me for being Asian, calling me “G**k” or likening me and other Asian people in my posts to coronavirus, e.g. “corona girl”, “achooooo”, which one of you can cough the furthest distance”, etc. a lot of the comments were also sexual, e.g. “flat boobs girl”, “white fetish assley”, etc.",California,Dublin,,Online,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate_NAPAWF_Whitepaper.pdf
"Former friends have continuously harassed me by adding me to online chats, then calling me racist names like f**king chink b***h, and telling me and my family to go back to Hong Kong although I was born in the US. My father is Hmong and I am half Hmong and half white.",Minnesota,Blaine,,Online,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate_NAPAWF_Whitepaper.pdf
This lady spat in my direction and I literally walked in front of a car to avoid it and she was like “What the f*** you looking at you Chinese b**** wearing a f***ing mask bringing the coronavirus.,New York,New York City,,Coughed/Spat On,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate_NAPAWF_Whitepaper.pdf
"Man harassed elderly Chinese woman on the train, then started to harass me, spat at my feet, told me I brought the virus to the US, made sexual comments about my visible fear and anxiety. Followed and chased me off the train.",Illinois,Chicago,,Coughed/Spat On,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate_NAPAWF_Whitepaper.pdf
"I was walking on the middle level of the subway station in NYC when out of nowhere, a maskless man approached me and got very close to me, spitting at me, making incoherent sounds that are supposed to sound like some Asian language (I presume), blaming me directly for the pandemic, and telling me to go back to China.",New York,New York City,,Coughed/Spat On,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate_NAPAWF_Whitepaper.pdf
"I was at an auto repair shop and the guy at the desk really didn’t seem to want to help me. He kept making excuses for why they couldn’t fix my car: telling me it would be too expensive for me to fix my tail light, telling me that it could take a really long time to order and get my taillight in stock. But as I was leaving, I heard one of the mechanics say to the guy at the desk, “Oh, I’m glad you got rid of her. I’m not working on a coronavirus car.”",Texas,Dallas,,Refusal Of Service,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate_NAPAWF_Whitepaper.pdf
"Refused entry onto transit train. Transit employee raised voice and said to me and another young Asian woman, “the Asian girls are the most ignorant bitches out of everyone” as he blocked the entrance to an open door to board the train.",New York,New York City,,Refusal Of Service,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate_NAPAWF_Whitepaper.pdf
"I received a racist email at work from a colleague. The framing of the email implied I was “Socialist and Leftist” and a COVID-19 carrier — as indicated by a masked emoji included in the email. I reported this internally in my company to managers, and received no action in response.",California,San Francisco,,Workplace Discrimination,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate_NAPAWF_Whitepaper.pdf
I was at work and a customer told me that Asians are awful and should all die. That the only thing good about us is our food.,Colorado,Grand Junction,,Workplace Discrimination,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate_NAPAWF_Whitepaper.pdf
I was at work and a customer said he would sue the place if he got sick. He proceeded to point at me and say “everything was my fault.”,South Carolina,Taylors,,Workplace Discrimination,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate_NAPAWF_Whitepaper.pdf
"While shopping at a local grocery, [I walked] past a gentleman who said, ""Chinese Motherf***er."" I continued shopping, then ran into him again in another aisle, when he said the same slur. I told him I am not from there and never been to China, and he said, ""Doesn't matter — you are all the same and you are a virus.",Arizona,Gilbert,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate-Report-National-210506.pdf
"I was at the park with a friend and our young children. A large man was jogging by, lunged off the path toward me and yelled “F****** ch***!” in my face before jogging away. We were with our children and too scared to confront him, but he appeared unashamed as he jogged by again.",California,Riverside,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate-Report-National-210506.pdf
"I was in class, the professor was having hoarse cough symptoms. She emphasized at the time that she did not have COVID-19 because she had never been to China. I was the only Chinese student in class, and she knew that I was from China. The students began to discuss the Chinese eating bats, snakes, and dogs. The teacher didn't stop it. [Reported in Chinese]",Illinois,Chicago,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate-Report-National-210506.pdf
"A little kid and kid’s dad yelled “Ching Chang Chong”, made the slanted-eye mockery, then stuck their tongue out to me, my husband and my friend; then ran away. [Reported in Korean]",Wisconsin,Madison,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate-Report-National-210506.pdf
